date,price
2024-03-11,25.2
2024-03-18,24.692
2024-03-25,24.797
2024-04-01,27.4
2024-04-08,28.255
2024-04-15,28.808
2024-04-22,27.241
2024-04-29,26.445
2024-05-06,28.275
2024-05-13,31.047
2024-05-20,30.33
2024-05-27,30.297
2024-06-03,29.335
2024-06-10,29.402
2024-06-17,29.573
2024-06-24,29.237
2024-07-01,31.388
2024-07-08,30.886
2024-07-15,29.088
2024-07-22,27.86
2024-07-29,28.246
2024-08-05,27.487
2024-08-12,28.778
2024-08-19,29.786
2024-08-26,28.731
2024-09-02,27.808
2024-09-09,30.699
2024-09-16,31.176
2024-09-23,31.519
2024-09-30,32.128
2024-10-07,31.52
2024-10-14,33.032
2024-10-21,33.603
2024-10-28,32.542
2024-11-04,31.359
2024-11-11,30.371
2024-11-18,31.309
2024-11-25,30.685
2024-12-02,31.186
2024-12-09,30.655
2024-12-16,29.66
2024-12-23,29.655
2024-12-30,29.806
2025-01-06,31.091
2025-01-13,30.951
2025-01-20,31.023
2025-01-27,32.128
2025-02-03,32.335
2025-02-10,32.801
2025-02-17,32.976
2025-02-24,31.219
2025-03-03,32.548
2025-03-10,34.187
2025-03-17,33.29
2025-03-24,34.644
2025-03-31,29.116
2025-04-07,31.824
2025-04-14,32.42
2025-04-21,32.989
2025-04-28,31.989
2025-05-05,32.676
2025-05-12,32.158
2025-05-19,33.442
2025-05-26,32.892
2025-06-02,36.025
2025-06-09,36.281
2025-06-16,35.976
2025-06-23,36.037
2025-06-30,36.775
2025-07-07,38.676
2025-07-14,38.223
2025-07-21,38.167
2025-07-28,36.787
2025-08-04,38.417
2025-08-11,37.894
2025-08-18,39.003
2025-08-25,40.2
2025-09-01,41.074
2025-09-08,42.387
2025-09-15,42.536
2025-09-22,46.221
2025-09-29,47.597
2025-10-06,46.938
2025-10-13,49.864
2025-10-20,48.377
2025-10-27,47.994
2025-11-03,48.017
2025-11-10,50.59
2025-11-17,49.873
2025-11-24,56.446
2025-12-01,58.422
2025-12-08,61.362
2025-12-15,66.845
2025-12-22,76.486
2025-12-29,70.556
2026-01-05,78.884
2026-01-12,88.091
2026-01-19,100.925
2026-01-26,78.29
2026-02-02,76.735
2026-02-09,77.851
2026-02-16,82.283
2026-02-23,92.682
2026-03-02,84.95
