date,price
2024-07-08,2414.0
2024-07-15,2395.5
2024-07-22,2380.0
2024-07-29,2425.7
2024-08-05,2432.1001
2024-08-12,2498.6001
2024-08-19,2508.3999
2024-08-26,2493.8
2024-09-02,2493.5
2024-09-09,2581.3
2024-09-16,2619.8999
2024-09-23,2644.3
2024-09-30,2645.8
2024-10-07,2657.6001
2024-10-14,2713.7
2024-10-21,2740.8999
2024-10-28,2738.6001
2024-11-04,2687.5
2024-11-11,2565.7
2024-11-18,2709.8999
2024-11-25,2657.0
2024-12-02,2638.6001
2024-12-09,2656.0
2024-12-16,2628.7
2024-12-23,2617.2
2024-12-30,2645.0
2025-01-06,2708.5
2025-01-13,2744.3
2025-01-20,2777.3
2025-01-27,2812.5
2025-02-03,2867.3
2025-02-10,2883.6001
2025-02-17,2937.6001
2025-02-24,2836.8
2025-03-03,2904.7
2025-03-10,2994.5
2025-03-17,3018.2
2025-03-24,3086.5
2025-03-31,3012.0
2025-04-07,3222.2
2025-04-14,3308.7
2025-04-21,3282.3999
2025-04-28,3231.8999
2025-05-05,3335.3999
2025-05-12,3182.0
2025-05-19,3363.6001
2025-05-26,3288.8999
2025-06-02,3322.7
2025-06-09,3431.2
2025-06-16,3368.1001
2025-06-23,3273.7
2025-06-30,3332.5
2025-07-07,3356.0
2025-07-14,3353.0
2025-07-21,3334.0
2025-07-28,3347.7
2025-08-04,3439.1001
2025-08-11,3336.0
2025-08-18,3374.3999
2025-08-25,3473.7
2025-09-01,3613.2
2025-09-08,3649.3999
2025-09-15,3671.5
2025-09-22,3775.3
2025-09-29,3880.8
2025-10-06,3975.8999
2025-10-13,4189.8999
2025-10-20,4118.3999
2025-10-27,3982.2
2025-11-03,3999.3999
2025-11-10,4087.6001
2025-11-17,4076.7
2025-11-24,4218.2998
2025-12-01,4212.8999
2025-12-08,4300.1001
2025-12-15,4361.3999
2025-12-22,4529.1001
2025-12-29,4314.3999
2026-01-05,4490.2998
2026-01-12,4588.3999
2026-01-19,4976.2002
2026-01-26,4713.8999
2026-02-02,4951.2002
2026-02-09,5022.0
2026-02-16,5059.2998
2026-02-23,5230.5
2026-03-02,5164.7998
